# trenovacie priklady
Studenti,Ubytovani
Druh lietadla,Modely lietadiel
studenti,student
cislo poschodia,poschodie
cislo,cislo dveri
poplatok,poplatok na osobu
od,zaciatok
do,koniec
vyska,suma
datum a cas,cas
kredit,kredit na konte
konta,konto

# priklad 6.1, 6.2
auditorium,cinema hall
auditorium,hall
film,movie
customer,user
username,name

# priklad 6.2
number,seat number

# priklad 6.3
teams,hockey_teams
name,first name
surname,last name
time,minute
points,statistics
matches,games
period,third
type (g/a),type

# priklad 6.4
points,ways
text,descriptions
pictures,images
points,coordinates
rates,ratings
pictures,photos
number,rank

# priklad 6.5
options,choices
has,has choices
options,answers
has,has options
is correct,has the right answer
selects,user answers
text,description

# priklad 7.1
students,authors
semestral projects,semestral
theses,final
name,first name
surname,last name
is similar to, similarity

# priklad 7.2
suppliers,seller
crates,box
weight,total weight
varieties,variety
sugar,sugar content
average size, size
sugar content,sweetness
operations,trades
buyers,customers
varieties,sort

# priklad 7.3
date,time

# priklad 9.1
airplane model,models
code,model name
weight capacity,load weight
volume capacity,load volume
maximum health,maximal health
maximum health modificator,maximal health modifier
strength modificator,strength modifier
dexterity modificator,agility modifier
inteligence modificator,inteligence modifier
person capacity,capacity
weight capacity,weight
volume capacity,volume
health,actual health
speed modificator,speed increase
strength modificator,speed increase
dexterity modificator,agility increase
inteligence modificator,inteligence increase
name,role
airplane model,model
marine role,role
weight capacity,material volume
volume capacity,material weight
rocket type,rocket
name,role name
fight model,fighters
weapon type,rocket type
airplane model,model name
count,amount
rocket type,rocket types
name,type

# priklad 9.2
move,turn
fuel type,fuel
attack,attack strength
defense,defense strength
points,points count
units,unit types
points,action points count
tile type,type
type,name
columns,coordinate x
rows,coordinate y
points,action points
move,movement
tile type,tile
tile,coordinates

# priklad 9.3
fee,monthly fee
amount,sum
city,town
students,accommodated
account,credit
date,when
date,time
building,hostel
